,image_pair_1,image_pair_2,cosine_similarity,numerosity,area_bin
196,stimulus_11662.png,stimulus_11723.png,0.9716116,8.0,2.0
197,stimulus_11666.png,stimulus_11723.png,0.9837287,8.0,2.0
198,stimulus_11811.png,stimulus_11867.png,0.96160394,8.0,3.0
199,stimulus_11811.png,stimulus_11901.png,0.9389464,8.0,3.0
200,stimulus_11867.png,stimulus_11901.png,0.94391274,8.0,3.0
201,stimulus_12026.png,stimulus_12047.png,0.9849072,8.0,4.0
202,stimulus_12026.png,stimulus_12192.png,0.98558724,8.0,4.0
203,stimulus_12047.png,stimulus_12192.png,0.99235153,8.0,4.0
204,stimulus_12158.png,stimulus_12182.png,0.9384177,8.0,5.0
205,stimulus_12158.png,stimulus_12196.png,0.97720885,8.0,5.0
206,stimulus_12182.png,stimulus_12196.png,0.90352374,8.0,5.0
207,stimulus_12242.png,stimulus_12305.png,0.9635641,8.0,6.0
208,stimulus_12242.png,stimulus_12379.png,0.9742799,8.0,6.0
209,stimulus_12305.png,stimulus_12379.png,0.9648263,8.0,6.0
210,stimulus_12440.png,stimulus_12454.png,0.91487366,8.0,7.0
211,stimulus_12440.png,stimulus_12517.png,0.9582728,8.0,7.0
212,stimulus_12454.png,stimulus_12517.png,0.9727844,8.0,7.0
213,stimulus_12601.png,stimulus_12688.png,0.94395554,8.0,8.0
214,stimulus_12601.png,stimulus_12742.png,0.96654975,8.0,8.0
215,stimulus_12688.png,stimulus_12742.png,0.95684904,8.0,8.0
216,stimulus_12811.png,stimulus_12921.png,0.9752666,9.0,0.0
217,stimulus_12811.png,stimulus_12992.png,0.9665833,9.0,0.0
218,stimulus_12921.png,stimulus_12992.png,0.96598107,9.0,0.0
219,stimulus_13025.png,stimulus_13111.png,0.94009775,9.0,1.0
220,stimulus_13025.png,stimulus_13133.png,0.956857,9.0,1.0
221,stimulus_13111.png,stimulus_13133.png,0.96406233,9.0,1.0
222,stimulus_13244.png,stimulus_13270.png,0.9246088,9.0,2.0
