,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
118,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.98829937,1.0,1.0,29.0,same,10
119,clip-vit-base-patch32,stimulus_1009.png,stimulus_1200.png,0.98893285,1.0,1.0,29.0,same,11
120,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,1.0000001,2.0,2.0,182.0,same,0
121,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.997962,2.0,2.0,182.0,same,1
122,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.999082,2.0,2.0,182.0,same,2
123,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.99942344,2.0,2.0,182.0,same,3
124,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.9990829,2.0,2.0,182.0,same,4
125,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.9978664,2.0,2.0,182.0,same,5
126,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.9945383,2.0,2.0,182.0,same,6
127,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.99117374,2.0,2.0,182.0,same,7
128,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.98705715,2.0,2.0,182.0,same,8
129,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.9854445,2.0,2.0,182.0,same,9
130,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.98011774,2.0,2.0,182.0,same,10
131,clip-vit-base-patch32,stimulus_1871.png,stimulus_3066.png,0.9770529,2.0,2.0,182.0,same,11
132,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,1.0000001,2.0,2.0,37.0,same,0
133,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9997636,2.0,2.0,37.0,same,1
134,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9998479,2.0,2.0,37.0,same,2
135,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9998955,2.0,2.0,37.0,same,3
136,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9995995,2.0,2.0,37.0,same,4
137,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.998875,2.0,2.0,37.0,same,5
138,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.99790394,2.0,2.0,37.0,same,6
139,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9973956,2.0,2.0,37.0,same,7
140,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9966923,2.0,2.0,37.0,same,8
141,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.9950606,2.0,2.0,37.0,same,9
142,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.990232,2.0,2.0,37.0,same,10
143,clip-vit-base-patch32,stimulus_2016.png,stimulus_2395.png,0.98820454,2.0,2.0,37.0,same,11
144,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,1.0000001,2.0,2.0,72.0,same,0
145,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9993736,2.0,2.0,72.0,same,1
146,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9996424,2.0,2.0,72.0,same,2
147,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9996095,2.0,2.0,72.0,same,3
148,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9993107,2.0,2.0,72.0,same,4
149,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.99830776,2.0,2.0,72.0,same,5
150,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9973372,2.0,2.0,72.0,same,6
151,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9962364,2.0,2.0,72.0,same,7
152,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9907724,2.0,2.0,72.0,same,8
153,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.98699355,2.0,2.0,72.0,same,9
154,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9810993,2.0,2.0,72.0,same,10
155,clip-vit-base-patch32,stimulus_2387.png,stimulus_2793.png,0.9820732,2.0,2.0,72.0,same,11
156,clip-vit-base-patch32,stimulus_1709.png,stimulus_2539.png,1.0000001,2.0,2.0,117.0,same,0
157,clip-vit-base-patch32,stimulus_1709.png,stimulus_2539.png,0.99892247,2.0,2.0,117.0,same,1
158,clip-vit-base-patch32,stimulus_1709.png,stimulus_2539.png,0.99897957,2.0,2.0,117.0,same,2
159,clip-vit-base-patch32,stimulus_1709.png,stimulus_2539.png,0.99914694,2.0,2.0,117.0,same,3
160,clip-vit-base-patch32,stimulus_1709.png,stimulus_2539.png,0.9990684,2.0,2.0,117.0,same,4
161,clip-vit-base-patch32,stimulus_1709.png,stimulus_2539.png,0.9978529,2.0,2.0,117.0,same,5
