,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
71,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.99723125,1.0,1.0,96.0,same,6
72,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.9940753,1.0,1.0,96.0,same,7
73,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.98404557,1.0,1.0,96.0,same,8
74,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.97901076,1.0,1.0,96.0,same,9
75,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.9651294,1.0,1.0,96.0,same,10
76,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.96994096,1.0,1.0,96.0,same,11
77,clip-vit-base-patch32,stimulus_180.png,stimulus_629.png,0.87930834,1.0,1.0,96.0,same,12
78,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,1.0000001,1.0,1.0,70.0,same,0
79,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.99952877,1.0,1.0,70.0,same,1
80,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.99936885,1.0,1.0,70.0,same,2
81,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.9994123,1.0,1.0,70.0,same,3
82,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.9991982,1.0,1.0,70.0,same,4
83,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.99827206,1.0,1.0,70.0,same,5
84,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.99562407,1.0,1.0,70.0,same,6
85,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.99379647,1.0,1.0,70.0,same,7
86,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.9838905,1.0,1.0,70.0,same,8
87,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.9795663,1.0,1.0,70.0,same,9
88,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.966038,1.0,1.0,70.0,same,10
89,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.9660995,1.0,1.0,70.0,same,11
90,clip-vit-base-patch32,stimulus_150.png,stimulus_427.png,0.8512738,1.0,1.0,70.0,same,12
91,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,1.0000001,1.0,1.0,220.0,same,0
92,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.9975023,1.0,1.0,220.0,same,1
93,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.99892765,1.0,1.0,220.0,same,2
94,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.99917686,1.0,1.0,220.0,same,3
95,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.99906206,1.0,1.0,220.0,same,4
96,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.99744207,1.0,1.0,220.0,same,5
97,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.99264675,1.0,1.0,220.0,same,6
98,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.9877583,1.0,1.0,220.0,same,7
99,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.9840454,1.0,1.0,220.0,same,8
100,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.98113817,1.0,1.0,220.0,same,9
101,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.9765579,1.0,1.0,220.0,same,10
102,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.977961,1.0,1.0,220.0,same,11
103,clip-vit-base-patch32,stimulus_47.png,stimulus_1510.png,0.90548944,1.0,1.0,220.0,same,12
104,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,1.0000001,1.0,1.0,29.0,same,0
105,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9995072,1.0,1.0,29.0,same,1
106,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9997503,1.0,1.0,29.0,same,2
107,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9998443,1.0,1.0,29.0,same,3
108,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9995687,1.0,1.0,29.0,same,4
109,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9990202,1.0,1.0,29.0,same,5
110,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.998166,1.0,1.0,29.0,same,6
111,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.997457,1.0,1.0,29.0,same,7
112,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9955066,1.0,1.0,29.0,same,8
113,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9958923,1.0,1.0,29.0,same,9
114,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9952699,1.0,1.0,29.0,same,10
115,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.9952816,1.0,1.0,29.0,same,11
116,clip-vit-base-patch32,stimulus_1119.png,stimulus_1364.png,0.98376286,1.0,1.0,29.0,same,12
117,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,1.0000001,1.0,1.0,6.0,same,0
118,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9998989,1.0,1.0,6.0,same,1
119,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.99993676,1.0,1.0,6.0,same,2
120,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9998921,1.0,1.0,6.0,same,3
121,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9995969,1.0,1.0,6.0,same,4
122,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.99904823,1.0,1.0,6.0,same,5
123,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9980898,1.0,1.0,6.0,same,6
124,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.99647534,1.0,1.0,6.0,same,7
125,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9941904,1.0,1.0,6.0,same,8
126,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9908968,1.0,1.0,6.0,same,9
127,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9876043,1.0,1.0,6.0,same,10
128,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9870029,1.0,1.0,6.0,same,11
129,clip-vit-base-patch32,stimulus_80.png,stimulus_121.png,0.9485533,1.0,1.0,6.0,same,12
130,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,1.0000001,2.0,2.0,165.0,same,0
131,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.99796283,2.0,2.0,165.0,same,1
132,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.99905205,2.0,2.0,165.0,same,2
133,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9992773,2.0,2.0,165.0,same,3
134,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9990647,2.0,2.0,165.0,same,4
135,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.99789613,2.0,2.0,165.0,same,5
136,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9969035,2.0,2.0,165.0,same,6
137,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9955662,2.0,2.0,165.0,same,7
138,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9848722,2.0,2.0,165.0,same,8
139,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9832801,2.0,2.0,165.0,same,9
140,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.96834224,2.0,2.0,165.0,same,10
141,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.9654691,2.0,2.0,165.0,same,11
142,clip-vit-base-patch32,stimulus_1936.png,stimulus_2932.png,0.86971104,2.0,2.0,165.0,same,12
143,clip-vit-base-patch32,stimulus_1714.png,stimulus_2083.png,1.0000001,2.0,2.0,59.0,same,0
