,image_type,image_1,image_2,mean_pix_diff
54,dots,stimulus_8480.png,stimulus_8585.png,233.51258436703608
55,dots,stimulus_9653.png,stimulus_9902.png,30.247545185478955
56,dots,stimulus_9001.png,stimulus_9947.png,28.239547300622057
57,dots,stimulus_9175.png,stimulus_9993.png,28.287461167294598
58,dots,stimulus_9495.png,stimulus_10051.png,214.06830149602308
59,dots,stimulus_8456.png,stimulus_9508.png,224.29875661900252
60,dots,stimulus_10891.png,stimulus_11165.png,31.639794067317368
61,dots,stimulus_10883.png,stimulus_11177.png,32.73340383810342
62,dots,stimulus_10560.png,stimulus_11291.png,24.10633735063638
63,dots,stimulus_10684.png,stimulus_10805.png,226.18564787273888
64,dots,stimulus_10418.png,stimulus_11155.png,24.39310081447698
65,dots,stimulus_10258.png,stimulus_11370.png,219.24509220701964
66,dots,stimulus_10587.png,stimulus_11636.png,218.55202297280425
67,dots,stimulus_10987.png,stimulus_11011.png,29.204618062440787
68,dots,stimulus_10694.png,stimulus_11137.png,25.66094549834387
69,dots,stimulus_11311.png,stimulus_11406.png,37.32424115569069
70,dots,stimulus_12648.png,stimulus_12948.png,34.04707662252774
71,dots,stimulus_11831.png,stimulus_12324.png,23.99117221524519
72,dots,stimulus_11882.png,stimulus_12884.png,26.834056741651427
73,dots,stimulus_12055.png,stimulus_12989.png,30.283260258076837
74,dots,stimulus_12035.png,stimulus_12285.png,28.817568907396392
75,dots,stimulus_12054.png,stimulus_13012.png,28.51670448953812
76,dots,stimulus_12785.png,stimulus_12939.png,36.33603601618672
77,dots,stimulus_11893.png,stimulus_12661.png,23.762641284949435
78,dots,stimulus_12249.png,stimulus_12689.png,27.014894132681164
79,dots,stimulus_11836.png,stimulus_12619.png,224.6350790608177
80,dots,stimulus_14041.png,stimulus_14340.png,222.63432260338863
81,dots,stimulus_14418.png,stimulus_14870.png,32.91759020571236
82,dots,stimulus_14375.png,stimulus_14510.png,32.624819147920476
83,dots,stimulus_13973.png,stimulus_14960.png,33.14474041759388
84,dots,stimulus_13810.png,stimulus_14965.png,220.27461607949414
85,dots,stimulus_13782.png,stimulus_14933.png,30.02788610541932
86,dots,stimulus_14533.png,stimulus_14761.png,217.84802549922517
87,dots,stimulus_13610.png,stimulus_14222.png,225.36948171649738
88,dots,stimulus_13903.png,stimulus_14878.png,32.09474078480622
89,dots,stimulus_13748.png,stimulus_14585.png,221.3101842671543
90,dots,stimulus_15386.png,stimulus_16380.png,216.79187873179544
91,dots,stimulus_15297.png,stimulus_16875.png,202.4039262343843
92,dots,stimulus_16061.png,stimulus_16800.png,206.77689646815168
93,dots,stimulus_15809.png,stimulus_15909.png,221.3782140260427
94,dots,stimulus_15975.png,stimulus_16446.png,31.984349409889763
95,dots,stimulus_15534.png,stimulus_16421.png,219.026637583449
96,dots,stimulus_16725.png,stimulus_16863.png,205.93888117742966
